duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,actor_3_name,num_user_for_reviews,content_rating,actor_2_facebook_likes,movie_facebook_likes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,imdb_score
178.0,0.0,855.0,1268,1000.0,760505847.0,232,886204,3157,3054.0,7,936.0,33000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
169.0,563.0,1000.0,2003,40000.0,309404152.0,878,471220,1267,1238.0,7,5000.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
148.0,0.0,161.0,2253,11000.0,200074175.0,310,275868,2873,994.0,7,393.0,85000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[6, 8)"
164.0,22000.0,23000.0,478,27000.0,448130642.0,1749,1144337,1607,2701.0,7,23000.0,164000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[8, 10)"
132.0,475.0,530.0,2307,640.0,73058679.0,392,212204,2482,738.0,7,632.0,24000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
156.0,0.0,4000.0,1104,24000.0,336530303.0,703,383056,1790,1902.0,7,11000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[6, 8)"
100.0,15.0,284.0,715,799.0,200807262.0,188,294810,1968,387.0,6,553.0,29000,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"[6, 8)"
141.0,0.0,19000.0,2209,26000.0,458991599.0,293,462669,2770,1117.0,7,21000.0,118000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
153.0,282.0,10000.0,584,25000.0,301956980.0,25,321795,2700,973.0,6,11000.0,10000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"[6, 8)"
183.0,0.0,2000.0,1539,15000.0,330249062.0,659,371639,47,3018.0,7,4000.0,197000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
169.0,0.0,903.0,1729,18000.0,200069408.0,989,240396,1022,2367.0,7,10000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
106.0,395.0,393.0,1757,451.0,168368427.0,610,330784,2678,1243.0,7,412.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
151.0,563.0,1000.0,2003,40000.0,423032628.0,878,522040,1267,1832.0,7,5000.0,5000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
150.0,563.0,1000.0,2278,40000.0,89289910.0,878,181792,3042,711.0,7,2000.0,48000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[6, 8)"
143.0,0.0,748.0,493,15000.0,291021565.0,659,548573,1170,2536.0,7,3000.0,118000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[6, 8)"
150.0,80.0,201.0,2101,22000.0,141614023.0,1393,149922,670,438.0,6,216.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[6, 8)"
